"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Hmgcs1",6031.74163830549,1.00468192206219,0.287949127071739,3.48909521719746,0.000484658476219223,0.0675658909638191
"Sox12",80.1893988153994,-1.53157919566155,0.439093741020851,-3.48804606529069,0.000486564242184209,0.0675658909638191
"Aldh1a3",11.1350233708035,-5.29883383058733,1.52089787204846,-3.4840168613363,0.000493948368584129,0.0680099927490368
"Gm30611",16.081775659739,-3.61720250451144,1.043482139556,-3.46647284835229,0.000527334992354795,0.0717812221420535
"Il22ra1",110.986680205407,-1.86158860458311,0.537250534897921,-3.46502885276199,0.00053017459574361,0.0717812221420535
"Cmbl",3408.47358361458,0.794879440777158,0.231843427627539,3.4285183276972,0.00060688555727247,0.0814881789174035
"Tgm1",360.833854842762,-1.18395155151897,0.346303317849089,-3.41882820780513,0.000628914195611891,0.0830599787100568
"Chmp7",680.905058985573,-0.890341323703078,0.260473890802196,-3.41815957430914,0.0006304613148974,0.0830599787100568
"Dct",77.5938000167969,2.49780539536354,0.731065002309144,3.41666662673492,0.000633928562814492,0.0830599787100568
"Vipr1",482.646968337446,0.900220843674926,0.263913911203012,3.41103975751564,0.000647156543986543,0.0836678853060336
"Mafb",2372.86259613036,1.00914706232371,0.295909812196049,3.41031970124439,0.000648867701640933,0.0836678853060336
"Ptgfr",20.5391544075067,3.18143749032201,0.935453014413065,3.40095915166638,0.00067149861165534,0.0859042357760969
"Spata1",74.5999812931784,1.46992796233258,0.433341624884489,3.39207654636086,0.000693650588029802,0.088044852372814
"Gm41470",6.75628447462321,6.16229838000303,1.81885427438317,3.38801105002921,0.00070401427967441,0.0886675969137221
"Prkaa2",1007.74333593051,-0.823797425298782,0.243903637773889,-3.37755284348191,0.000731338996042832,0.0910810148484374
"Ndufs5",190.992080991732,1.4621916021628,0.433061260889922,3.37640822261049,0.000734388683765944,0.0910810148484374
"Prr18",30.9230484746308,2.2571503461466,0.670159247340218,3.36808057951145,0.000756934696272923,0.0923064362553553
"Mpzl2",774.485941357532,0.86244740048772,0.256190205630653,3.3664339289032,0.000761468211726025,0.0923064362553553
"4932443L11Rik",23.9009039474577,3.14460488047711,0.934639254509705,3.36451188552605,0.000766791815367746,0.0923064362553553
"Nploc4",998.845991627994,-0.904331917499982,0.26879131564297,-3.36443874809255,0.000766995069518863,0.0923064362553553
"Hspb6",240.65813143128,-1.19564648671531,0.356328575565975,-3.35546057403957,0.000792329494658757,0.0940684971627626
"Pcgf2",100.48765014909,-1.44652882848784,0.431323950688201,-3.35369465613915,0.000797403042695553,0.0940684971627626
"Golm2",71.1164144619876,-1.56350692556325,0.4662815937337,-3.35313884694362,0.000799006130883316,0.0940684971627626
"Gm31907",18.146265007308,4.04664473287071,1.20820487897681,3.34930341971279,0.000810150222822616,0.0946943213683384
"Igsf10",23.9602493119238,-2.57361553088712,0.770038585509202,-3.34219035165007,0.000831200378795422,0.0964608039592088
"Them6",83.1268088025169,1.41948608179197,0.426018808884253,3.33197983795509,0.000862305032206327,0.0993607791365688
"Pde2a",337.988191583176,0.962898822215024,0.289335986931299,3.32796079888831,0.000874841757891336,0.100095450989159
"Socs7",223.521609628967,-0.997107656731106,0.300501125040791,-3.31814949643119,0.000906159709969733,0.102560013071843
"Srgap3",54.2710391764325,1.86977313560401,0.563647642721037,3.31727305125874,0.000909007317187504,0.102560013071843
"Nr1i2",1429.94412661473,0.833929882926801,0.252032237635723,3.30882227904563,0.000936892877952011,0.104764605276921
"Gbp6",481.287220144152,1.08982237044623,0.329503788080444,3.30746537633176,0.000941443489286051,0.104764605276921
"Hnf4g",6.17269136625199,6.02443818148564,1.82515158283183,3.30078785683016,0.000964137535043471,0.1065601532779
"Sort1",348.667052124463,-1.04304635756248,0.318060809360859,-3.27939289237953,0.00104030691544244,0.113579751675898
"Slc25a51",1761.96218763516,0.725298346913321,0.221307124776032,3.27733843927229,0.00104790681176817,0.113579751675898
"Slc25a34",201.748393979527,1.26170349475628,0.385141947875954,3.27594410765832,0.00105309399525053,0.113579751675898
"Gpr12",53.2895696601954,1.99478423706643,0.609044339959418,3.27526931323152,0.00105561288256667,0.113579751675898
"Tomm7",562.320131779174,1.33511513700792,0.40964676724482,3.25918631309498,0.0011173226500403,0.119428559836873
"Tsc22d3",2581.31968459651,0.838693975532747,0.258047261916841,3.25015646088517,0.00115341531287771,0.122480644368131
"Tdg",188.165095931416,-1.30869590446128,0.403173062561095,-3.24599043435092,0.00117042772128228,0.123203925234464
"Mup20",84336.6646560836,-5.4965035581202,1.69394994895901,-3.24478510212063,0.00117539289784833,0.123203925234464
"Arl4d",1312.32876125916,1.2334070127745,0.380492615261402,3.24160565357395,0.00118858367091143,0.123787941674987
"Bmp2",289.684538988193,1.02430154135313,0.31680504231916,3.23322360608519,0.00122401715152112,0.126473371713562
"Gm46773",68.6419184462661,1.49006288305523,0.461056414806881,3.23184503067669,0.00122993738725566,0.126473371713562
"Cyp2d9",4295.52514866771,-4.17040305393373,1.29256641975783,-3.22645164703804,0.0012533540723289,0.128070714547973
"Dbt",1946.58669900219,0.928675314368501,0.288732324201355,3.21638845576868,0.00129814986665981,0.131819005522637
"Zfp652",143.116526108187,-1.18602808967994,0.369721977160374,-3.20789177529872,0.00133711804792457,0.13493265170578
"Sult1b1",754.914543525386,0.842980506369533,0.263092507605519,3.20412205593288,0.00135475030139918,0.135868074980448
"Ifit3b",65.3709673295815,1.59691727181768,0.500078306554236,3.19333442560458,0.0014063996533424,0.138286241998846
"Glt1d1",1201.99734511727,0.83526625354212,0.261597465666438,3.19294474590655,0.00140829891196821,0.138286241998846
"Igfbp3",692.523809433631,0.929369553429321,0.291120594869144,3.19238683146778,0.00141102224623385,0.138286241998846
"Htra4",60.8570311019232,1.84191562307806,0.577213622708389,3.19104669504414,0.00141758367305717,0.138286241998846
"Tnnt1",31.6902335196631,2.19130261099821,0.687143232368954,3.18900413738138,0.00142763834324897,0.138286241998846
"Hpd",15495.1838910712,0.712254462629164,0.223478393214593,3.18712897646991,0.00143692682915428,0.138286241998846
"Oit3",352.480005499275,1.01734120113012,0.319566429066514,3.18350461311559,0.00145503794775971,0.138286241998846
"Marveld3",20.0226545310548,-2.73937804576897,0.860602027428711,-3.18309504098384,0.00145709777651416,0.138286241998846
"Gin1",366.021470214223,0.971087211236156,0.30510636587381,3.18278253046281,0.00145867126821569,0.138286241998846
"Zswim4",134.187963765699,-1.15534893435934,0.36311960829208,-3.18173105493664,0.00146397695721066,0.138286241998846
"LOC118568259",5.54657405620696,-6.00187776997688,1.8874775308428,-3.17984064546554,0.00147356061590294,0.138386932523555
"Mast3",1076.24610903595,0.876405920046288,0.27621849222912,3.17287200061652,0.00150939053780738,0.140937172803198
"Trappc6a",229.834758672641,1.02165152118145,0.322552205849137,3.16739895947044,0.00153809148629147,0.1427964135873
"2810459M11Rik",1491.22917737194,-0.696919136191094,0.220962958811552,-3.1540088888177,0.00161044180613715,0.148663909229036
"Slc47a1",2881.08205115462,0.784235282497706,0.24911025709282,3.14814528976017,0.0016431000362741,0.149970743781852
"Actg1",4610.71132216125,1.0155369752377,0.322642295516007,3.14756307325901,0.00164637582336347,0.149970743781852
"Slc2a4rg-ps",249.224997182259,0.994886485167736,0.316186838692891,3.14651453956962,0.00165229046205155,0.149970743781852
"Romo1",736.335363115712,1.32398865682228,0.421171304956404,3.1435870422353,0.00166890773624927,0.150121266513848
"Gm13709",7.373304615874,-5.41022648944036,1.72137378391803,-3.14297019042901,0.00167242870923902,0.150121266513848
"Blm",96.6674782744257,1.47248102280424,0.469966543844521,3.13316137518798,0.0017293433412594,0.154377149810118
"Adamts15",32.8094645652026,-2.45510491640046,0.783998058213157,-3.13151912900907,0.00173904456576385,0.154394847322215
"S100a13",381.467737840974,1.16840345816776,0.374133231508858,3.12296091276269,0.00179041523805404,0.158083244915924
"Ccdc25",451.923703763267,-0.950116503163548,0.304680503198017,-3.11840269787808,0.00181834171129817,0.158083244915924
"Nr0b2",835.018003050352,1.04272934556476,0.334644353191807,3.11593288701662,0.00183363998805971,0.158083244915924
"Snrpf",115.063176707421,1.34755113695611,0.432479548698862,3.11587251006501,0.00183401544603585,0.158083244915924
"Rhbdd2",451.611943152661,0.996008732899866,0.31970293314024,3.11541943990536,0.00183683514687078,0.158083244915924
"Nudt7",4065.69105840594,-0.949026023949805,0.30477174120724,-3.11389113764481,0.00184637600540832,0.158083244915924
"Pxmp2",2034.57587675395,0.730146263348314,0.234508287220051,3.11352008922048,0.00184869923887644,0.158083244915924
